# Draco, 260.05972916666667, 57.92121944444444
# LeoI, 152.11716666666666, 12.306500000000002
# LeoB, 168.36720833333334, 22.152805555555553
# UMi, 227.29725, 67.21436111111112
# SclI, 15.039166666666667, -33.70888888888889
# Car, 100.40291666666667, -50.96611111111111
# SxtI, 153.26208333333332, -1.6147222222222224
# FnxI, 39.99708333333333, -34.44916666666666
# BooI, 210, 14.5
# BooII, 209.5, 12.85
# CetII, 19.475, -17.416666666666668
# ColI, 82.85, -28.033333333333335
# GruII, 331.025, -46.43333333333333
# CBerI, 186.74583333333334, 23.904166666666665
# Seg1, 151.76333333333335, 16.07361111111111
# Ant2, 143.8868, -36.7673
# Ben's list
Antlia 2, 143.9, -36.8
Crater 2, 177.3100, -18.413
CVn I, 202.0146, +33.5558
Bootes III, 209.2808, +26.7750
Sculptor, 015.0392, -33.7089
Draco dSph, 260.059728, +57.921219
Hercules dSph, 247.7583, +12.7917
Leo II, 168.36721, +22.15281
Fornax, 039.9971, -34.4492
Eridanus II, 056.0878, -43.5332
Sex dSph, 153.2621, -01.6147
Car dSph, 100.4029, -50.9661
Leo I, 152.11717, +12.30650
UMi, 227.29725, +67.21436
Ind II, 309.7200, -46.1600
Leo T, 143.7225, +17.0514
Aquarius 2, 338.4813, -9.3274
Bootes dSph, 210.0000, +14.50
CVn II dSph, 194.2900, +34.3200
Leo IV, 173.2375, -00.5333
Gru II, 331.02, -46.44
Tuc III, 359.15, -59.60
Col I, 82.86, -28.03
Tuc IV, 0.73, -60.85
Ret III, 56.36, -60.45
Tuc V, 354.35, -63.27
Cet II, 19.47, -17.42
UMa II, 132.8750, +63.1300
Cet III, 31.331, -4.27
Coma, 186.7458, +23.9042
Hydra II, 185.4254, -31.9853
Pisces I, 015.9858, +21.8947
Pisces II, 344.6292, +05.9525
Pegasus III, 336.0942, +05.4200
Hydrus I, 037.3890, -79.3089
Bootes II, 209.5000, +12.8500
Horologium II, 049.1338, -50.0181
Sgr II, 298.1687, -22.0681
Leo V, 172.79000, +02.22000
Tri II, 033.32250, +36.17844
Segue 2, 034.8167, +20.1753
Segue 1, 151.7633, +16.0736
Draco II, 238.1983, +64.5653
Ret II, 053.9254, -54.0492
Tuc II, 342.9796, -58.5689
Eri III, 035.689500, -52.284700
Hor I, 043.8820, -54.1188
Ind I, 317.208208, -51.163500
Phoenix II, 354.9975, -54.4060
UMa I, 158.72000, +51.92000
Grus I, 344.1765, -50.1633
Car II, 114.1066, -57.9991
Car III, 114.6298, -57.8997
